Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,25655,,,,25655,,100525,,,0
H5,2019,2019,2019,6,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,28865,,,,28865,,189393,,,0
H5,2019,2019,2019,6,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,813540,,,,813540,,4200880,,,0
H5,2019,2019,2019,6,1,4,Re-Import,32,Argentina,ARG,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,28865,,,,28865,,189393,,,0
H5,2019,2019,2019,6,1,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,1054552,,,,1054552,,5197741,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,22300,,,,22300,,23459,,,0
H5,2019,2019,2019,6,1,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,879560,,,,879560,,3949901,,,0
H5,2019,2019,2019,6,1,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,668589,,,,668589,,3893063,,,0
H5,2019,2019,2019,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,620,,,,620,,754,,,0
H5,2019,2019,2019,6,1,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,306306,,,,306306,,2376657,,,0
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,227203,,,,227203,,1343989,,,0
H5,2019,2019,2019,6,1,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,40300,,,,40300,,200600,,,0
H5,2019,2019,2019,6,1,1,Import,72,Botswana,BWA,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,50,,,,30,,221,,,0
H5,2019,2019,2019,6,1,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,58500,,,,58500,,160922,,,0
H5,2019,2019,2019,6,1,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,1265880,,,,955102,,2697231,,,6
H5,2019,2019,2019,6,1,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,175730,,,,175730,,761124,,,0
H5,2019,2019,2019,6,1,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,222925,,,,222925,,1167626,,,0
H5,2019,2019,2019,6,1,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,3671543,,,,0,,8249295,,,0
H5,2019,2019,2019,6,1,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,22680,,,,22680,,55510,,,0
H5,2019,2019,2019,6,1,1,Import,152,Chile,CHL,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,269733,,,,269733,,1468611,,,0
H5,2019,2019,2019,6,1,1,Import,170,Colombia,COL,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,14539,,,,14539,,83791,,,0
H5,2019,2019,2019,6,1,1,Import,178,Congo,COG,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,500,,,,500,,555,,,0
H5,2019,2019,2019,6,1,1,Import,191,Croatia,HRV,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,53060,,,,53060,,176459,,,0
H5,2019,2019,2019,6,1,2,Export,191,Croatia,HRV,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,70676,,,,70676,,337256,,,0
H5,2019,2019,2019,6,1,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,1062,,,,1062,,6793,,,0
H5,2019,2019,2019,6,1,1,Import,203,Czechia,CZE,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,1902845,,,,1902845,,5750748,,,0
H5,2019,2019,2019,6,1,2,Export,203,Czechia,CZE,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,63091,,,,63091,,332526,,,0
H5,2019,2019,2019,6,1,1,Import,208,Denmark,DNK,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,3703845,,,,3703845,,15277557,,,0
H5,2019,2019,2019,6,1,2,Export,208,Denmark,DNK,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,450,,,,450,,3464,,,0
H5,2019,2019,2019,6,1,1,Import,222,El Salvador,SLV,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,1585,,,,1585,,12583,,,0
H5,2019,2019,2019,6,1,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,146645,,,,146645,,490958,,,0
H5,2019,2019,2019,6,1,2,Export,233,Estonia,EST,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,3022,,,,3022,,19842,,,0
H5,2019,2019,2019,6,1,1,Import,246,Finland,FIN,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,39612,,,,39612,,208634,,,0
H5,2019,2019,2019,6,1,1,Import,251,France,FRA,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,629293,,,,629293,,3658282,,,0
H5,2019,2019,2019,6,1,2,Export,251,France,FRA,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,6599147,,,,6599147,,25874153,,,0
H5,2019,2019,2019,6,1,1,Import,276,Germany,DEU,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,3556818,,,,3556818,,21950415,,,6
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,2339161,,,,2339161,,12798430,,,0
H5,2019,2019,2019,6,1,1,Import,288,Ghana,GHA,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,21705,,,,21705,,76436,,,0
H5,2019,2019,2019,6,1,2,Export,288,Ghana,GHA,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",1,No Quantity,0,,,,,,43,,,6
H5,2019,2019,2019,6,1,1,Import,300,Greece,GRC,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,407440,,,,407440,,2100982,,,0
H5,2019,2019,2019,6,1,2,Export,300,Greece,GRC,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,19265,,,,19265,,110866,,,0
H5,2019,2019,2019,6,1,1,Import,320,Guatemala,GTM,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,127915,,,,127915,,774527,,,0
H5,2019,2019,2019,6,1,1,Import,344,"China, Hong Kong SAR",HKG,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,2202,,,,2202,,21377,,,0
H5,2019,2019,2019,6,1,1,Import,348,Hungary,HUN,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,216026,,,,216026,,991270,,,0
H5,2019,2019,2019,6,1,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,317740,,,,317740,,1381581,,,0
H5,2019,2019,2019,6,1,1,Import,352,Iceland,ISL,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,1312,,,,1312,,8547,,,0
H5,2019,2019,2019,6,1,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,1098108,,,,1098108,,5344278,,,6
H5,2019,2019,2019,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,870,,,,870,,4500,,,6
H5,2019,2019,2019,6,1,1,Import,372,Ireland,IRL,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,226490,,,,226490,,835501,,,0
H5,2019,2019,2019,6,1,2,Export,372,Ireland,IRL,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,17350,,,,17350,,63758,,,0
H5,2019,2019,2019,6,1,1,Import,376,Israel,ISR,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,107462,,,,107462,,523000,,,6
H5,2019,2019,2019,6,1,1,Import,381,Italy,ITA,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,4001780,,,,4001780,,14287864,,,0
H5,2019,2019,2019,6,1,2,Export,381,Italy,ITA,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,4153008,,,,4153008,,22686415,,,0
H5,2019,2019,2019,6,1,1,Import,384,C̫te d'Ivoire,CIV,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,1000,,,,1000,,14275,,,0
H5,2019,2019,2019,6,1,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,2420221,,,,2420221,,13203414,,,0
H5,2019,2019,2019,6,1,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,14463,,,,14463,,389953,,,0
H5,2019,2019,2019,6,1,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,133377,,,,133377,,273338,,,0
H5,2019,2019,2019,6,1,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,40940,,,,40940,,97975,,,0
H5,2019,2019,2019,6,1,1,Import,400,Jordan,JOR,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,319920,,,,319920,,1479829,,,0
H5,2019,2019,2019,6,1,2,Export,400,Jordan,JOR,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,94080,,,,94080,,385188,,,0
H5,2019,2019,2019,6,1,3,Re-Export,400,Jordan,JOR,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,94080,,,,94080,,385188,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,599384,,,,599384,,3315120,,,0
H5,2019,2019,2019,6,1,2,Export,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,720,,,,720,,32850,,,0
H5,2019,2019,2019,6,1,1,Import,428,Latvia,LVA,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,146616,,,,146616,,723184,,,0
H5,2019,2019,2019,6,1,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,113193,,,,113193,,431601,,,0
H5,2019,2019,2019,6,1,1,Import,440,Lithuania,LTU,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,56550,,,,56550,,174700,,,0
